participant_ID,token_set,condition,rating
A3,1,LCATM,3
A3,2,UCATM,3
A3,3,LCATU,2
A3,4,UCATU,-3
A3,5,LCATM,2
A3,6,UCATM,3
A3,7,LCATU,2
A3,8,UCATU,-2
A3,9,LCATM,3
A3,10,UCATM,3
A3,11,LCATU,3
A3,12,UCATU,3
A9,1,LCATM,2
A9,2,UCATM,1
A9,3,LCATU,-3
A9,4,UCATU,-3
A9,5,LCATM,2
A9,6,UCATM,2
A9,7,LCATU,-3
A9,8,UCATU,-3
A9,9,LCATM,3
A9,10,UCATM,3
A9,11,LCATU,-3
A9,12,UCATU,-3
A10,1,LCATM,-2
A10,2,UCATM,3
A10,3,LCATU,-1
A10,4,UCATU,-3
A10,5,LCATM,2
A10,6,UCATM,2
A10,7,LCATU,-3
A10,8,UCATU,-3
A10,9,LCATM,2
A10,10,UCATM,3
A10,11,LCATU,-3
A10,12,UCATU,-2
A11,1,LCATM,2
A11,2,UCATM,-1
A11,3,LCATU,-1
A11,4,UCATU,-3
A11,5,LCATM,2
A11,6,UCATM,1
A11,7,LCATU,-3
A11,8,UCATU,-3
A11,9,LCATM,3
A11,10,UCATM,1
A11,11,LCATU,-2
A11,12,UCATU,-1
A12,1,LCATM,3
A12,2,UCATM,2
A12,3,LCATU,-1
A12,4,UCATU,-2
A12,5,LCATM,3
A12,6,UCATM,2
A12,7,LCATU,-1
A12,8,UCATU,-1
A12,9,LCATM,3
A12,10,UCATM,3
A12,11,LCATU,-2
A12,12,UCATU,-1
A14,1,LCATM,3
A14,2,UCATM,3
A14,3,LCATU,-3
A14,4,UCATU,-3
A14,5,LCATM,2
A14,6,UCATM,3
A14,7,LCATU,-3
A14,8,UCATU,-3
A14,9,LCATM,3
A14,10,UCATM,3
A14,11,LCATU,1
A14,12,UCATU,-3
A16,1,LCATM,3
A16,2,UCATM,3
A16,3,LCATU,-2
A16,4,UCATU,1
A16,5,LCATM,2
A16,6,UCATM,2
A16,7,LCATU,-1
A16,8,UCATU,-1
A16,9,LCATM,3
A16,10,UCATM,2
A16,11,LCATU,-1
A16,12,UCATU,-2
A17,1,LCATM,3
A17,2,UCATM,2
A17,3,LCATU,1
A17,4,UCATU,0
A17,5,LCATM,3
A17,6,UCATM,1
A17,7,LCATU,1
A17,8,UCATU,1
A17,9,LCATM,3
A17,10,UCATM,2
A17,11,LCATU,-3
A17,12,UCATU,1
A18,1,LCATM,2
A18,2,UCATM,2
A18,3,LCATU,2
A18,4,UCATU,-2
A18,5,LCATM,2
A18,6,UCATM,3
A18,7,LCATU,-2
A18,8,UCATU,2
A18,9,LCATM,3
A18,10,UCATM,3
A18,11,LCATU,1
A18,12,UCATU,1
A19,1,LCATM,3
A19,2,UCATM,3
A19,3,LCATU,-3
A19,4,UCATU,-2
A19,5,LCATM,3
A19,6,UCATM,3
A19,7,LCATU,-2
A19,8,UCATU,-3
A19,9,LCATM,3
A19,10,UCATM,3
A19,11,LCATU,0
A19,12,UCATU,-3
A20,1,LCATM,2
A20,2,UCATM,1
A20,3,LCATU,-1
A20,4,UCATU,-1
A20,5,LCATM,1
A20,6,UCATM,3
A20,7,LCATU,-1
A20,8,UCATU,-2
A20,9,LCATM,3
A20,10,UCATM,1
A20,11,LCATU,-2
A20,12,UCATU,-1
B4,1,UCATM,1
B4,2,LCATU,2
B4,3,UCATU,1
B4,4,LCATM,3
B4,5,UCATM,3
B4,6,LCATU,1
B4,7,UCATU,1
B4,8,LCATM,3
B4,9,UCATM,2
B4,10,LCATU,2
B4,11,UCATU,-1
B4,12,LCATM,3
B5,1,UCATM,-1
B5,2,LCATU,-2
B5,3,UCATU,-1
B5,4,LCATM,3
B5,5,UCATM,-1
B5,6,LCATU,-2
B5,7,UCATU,-1
B5,8,LCATM,3
B5,9,UCATM,3
B5,10,LCATU,-1
B5,11,UCATU,-1
B5,12,LCATM,3
B6,1,UCATM,1
B6,2,LCATU,3
B6,3,UCATU,-1
B6,4,LCATM,3
B6,5,UCATM,3
B6,6,LCATU,1
B6,7,UCATU,-1
B6,8,LCATM,3
B6,9,UCATM,3
B6,10,LCATU,3
B6,11,UCATU,-1
B6,12,LCATM,3
B8,1,UCATM,3
B8,2,LCATU,0
B8,3,UCATU,0
B8,4,LCATM,-2
B8,5,UCATM,0
B8,6,LCATU,-1
B8,7,UCATU,-2
B8,8,LCATM,3
B8,9,UCATM,3
B8,10,LCATU,-1
B8,11,UCATU,-3
B8,12,LCATM,-3
B11,1,UCATM,0
B11,2,LCATU,-1
B11,3,UCATU,0
B11,4,LCATM,3
B11,5,UCATM,-1
B11,6,LCATU,-1
B11,7,UCATU,3
B11,8,LCATM,3
B11,9,UCATM,3
B11,10,LCATU,3
B11,11,UCATU,-1
B11,12,LCATM,1
B13,1,UCATM,-2
B13,2,LCATU,-3
B13,3,UCATU,-3
B13,4,LCATM,3
B13,5,UCATM,1
B13,6,LCATU,-3
B13,7,UCATU,-3
B13,8,LCATM,3
B13,9,UCATM,1
B13,10,LCATU,-3
B13,11,UCATU,-2
B13,12,LCATM,2
B14,1,UCATM,3
B14,2,LCATU,3
B14,3,UCATU,2
B14,4,LCATM,3
B14,5,UCATM,3
B14,6,LCATU,1
B14,7,UCATU,-3
B14,8,LCATM,3
B14,9,UCATM,3
B14,10,LCATU,3
B14,11,UCATU,2
B14,12,LCATM,3
B15,1,UCATM,-1
B15,2,LCATU,1
B15,3,UCATU,1
B15,4,LCATM,2
B15,5,UCATM,0
B15,6,LCATU,1
B15,7,UCATU,0
B15,8,LCATM,3
B15,9,UCATM,2
B15,10,LCATU,1
B15,11,UCATU,-1
B15,12,LCATM,3
B17,1,UCATM,1
B17,2,LCATU,-2
B17,3,UCATU,0
B17,4,LCATM,3
B17,5,UCATM,2
B17,6,LCATU,0
B17,7,UCATU,1
B17,8,LCATM,3
B17,9,UCATM,2
B17,10,LCATU,0
B17,11,UCATU,0
B17,12,LCATM,1
B18,1,UCATM,1
B18,2,LCATU,-2
B18,3,UCATU,-1
B18,4,LCATM,3
B18,5,UCATM,3
B18,6,LCATU,-3
B18,7,UCATU,-2
B18,8,LCATM,3
B18,9,UCATM,3
B18,10,LCATU,-1
B18,11,UCATU,3
B18,12,LCATM,3
B19,1,UCATM,-3
B19,2,LCATU,-3
B19,3,UCATU,-3
B19,4,LCATM,3
B19,5,UCATM,3
B19,6,LCATU,-3
B19,7,UCATU,-3
B19,8,LCATM,3
B19,9,UCATM,3
B19,10,LCATU,-3
B19,11,UCATU,-3
B19,12,LCATM,3
B20,1,UCATM,2
B20,2,LCATU,-2
B20,3,UCATU,1
B20,4,LCATM,3
B20,5,UCATM,2
B20,6,LCATU,1
B20,7,UCATU,-1
B20,8,LCATM,3
B20,9,UCATM,3
B20,10,LCATU,1
B20,11,UCATU,1
B20,12,LCATM,1
B21,1,UCATM,1
B21,2,LCATU,-1
B21,3,UCATU,-2
B21,4,LCATM,3
B21,5,UCATM,3
B21,6,LCATU,-1
B21,7,UCATU,-1
B21,8,LCATM,3
B21,9,UCATM,3
B21,10,LCATU,-1
B21,11,UCATU,-1
B21,12,LCATM,0
C3,1,LCATU,-3
C3,2,UCATU,-3
C3,3,LCATM,2
C3,4,UCATM,2
C3,5,LCATU,-3
C3,6,UCATU,-3
C3,7,LCATM,3
C3,8,UCATM,3
C3,9,LCATU,-3
C3,10,UCATU,-2
C3,11,LCATM,3
C3,12,UCATM,2
C5,1,LCATU,-3
C5,2,UCATU,1
C5,3,LCATM,3
C5,4,UCATM,2
C5,5,LCATU,-2
C5,6,UCATU,3
C5,7,LCATM,3
C5,8,UCATM,-1
C5,9,LCATU,-2
C5,10,UCATU,3
C5,11,LCATM,1
C5,12,UCATM,-3
C7,1,LCATU,-3
C7,2,UCATU,-3
C7,3,LCATM,3
C7,4,UCATM,3
C7,5,LCATU,-3
C7,6,UCATU,-3
C7,7,LCATM,3
C7,8,UCATM,-1
C7,9,LCATU,3
C7,10,UCATU,-3
C7,11,LCATM,3
C7,12,UCATM,-3
C17,1,LCATU,1
C17,2,UCATU,3
C17,3,LCATM,0
C17,4,UCATM,2
C17,5,LCATU,2
C17,6,UCATU,2
C17,7,LCATM,1
C17,8,UCATM,3
C17,9,LCATU,3
C17,10,UCATU,3
C17,11,LCATM,3
C17,12,UCATM,-2
C18,1,LCATU,3
C18,2,UCATU,-1
C18,3,LCATM,3
C18,4,UCATM,3
C18,5,LCATU,0
C18,6,UCATU,3
C18,7,LCATM,3
C18,8,UCATM,2
C18,9,LCATU,-1
C18,10,UCATU,-2
C18,11,LCATM,3
C18,12,UCATM,0
C22,1,LCATU,-1
C22,2,UCATU,1
C22,3,LCATM,1
C22,4,UCATM,1
C22,5,LCATU,1
C22,6,UCATU,1
C22,7,LCATM,3
C22,8,UCATM,2
C22,9,LCATU,-1
C22,10,UCATU,-2
C22,11,LCATM,1
C22,12,UCATM,-2
C24,1,LCATU,0
C24,2,UCATU,0
C24,3,LCATM,3
C24,4,UCATM,0
C24,5,LCATU,0
C24,6,UCATU,3
C24,7,LCATM,3
C24,8,UCATM,3
C24,9,LCATU,3
C24,10,UCATU,-3
C24,11,LCATM,3
C24,12,UCATM,3
C26,1,LCATU,-2
C26,2,UCATU,3
C26,3,LCATM,3
C26,4,UCATM,3
C26,5,LCATU,-3
C26,6,UCATU,-2
C26,7,LCATM,3
C26,8,UCATM,3
C26,9,LCATU,3
C26,10,UCATU,-2
C26,11,LCATM,3
C26,12,UCATM,3
C27,1,LCATU,-2
C27,2,UCATU,-2
C27,3,LCATM,3
C27,4,UCATM,2
C27,5,LCATU,-2
C27,6,UCATU,-3
C27,7,LCATM,3
C27,8,UCATM,3
C27,9,LCATU,-3
C27,10,UCATU,-3
C27,11,LCATM,2
C27,12,UCATM,-2
C28,1,LCATU,1
C28,2,UCATU,2
C28,3,LCATM,3
C28,4,UCATM,-2
C28,5,LCATU,-1
C28,6,UCATU,-1
C28,7,LCATM,3
C28,8,UCATM,3
C28,9,LCATU,-1
C28,10,UCATU,-1
C28,11,LCATM,2
C28,12,UCATM,1
C29,1,LCATU,0
C29,2,UCATU,3
C29,3,LCATM,3
C29,4,UCATM,3
C29,5,LCATU,0
C29,6,UCATU,1
C29,7,LCATM,3
C29,8,UCATM,3
C29,9,LCATU,-1
C29,10,UCATU,-1
C29,11,LCATM,3
C29,12,UCATM,1
D1,1,UCATU,-1
D1,2,LCATM,3
D1,3,UCATM,3
D1,4,LCATU,-1
D1,5,UCATU,-1
D1,6,LCATM,3
D1,7,UCATM,2
D1,8,LCATU,-2
D1,9,UCATU,-1
D1,10,LCATM,3
D1,11,UCATM,3
D1,12,LCATU,-2
D2,1,UCATU,-1
D2,2,LCATM,3
D2,3,UCATM,3
D2,4,LCATU,1
D2,5,UCATU,1
D2,6,LCATM,3
D2,7,UCATM,2
D2,8,LCATU,-1
D2,9,UCATU,-1
D2,10,LCATM,3
D2,11,UCATM,3
D2,12,LCATU,1
D3,1,UCATU,2
D3,2,LCATM,1
D3,3,UCATM,3
D3,4,LCATU,-3
D3,5,UCATU,1
D3,6,LCATM,2
D3,7,UCATM,3
D3,8,LCATU,1
D3,9,UCATU,3
D3,10,LCATM,3
D3,11,UCATM,3
D3,12,LCATU,2
D7,1,UCATU,-2
D7,2,LCATM,2
D7,3,UCATM,1
D7,4,LCATU,1
D7,5,UCATU,-1
D7,6,LCATM,1
D7,7,UCATM,2
D7,8,LCATU,-3
D7,9,UCATU,-2
D7,10,LCATM,3
D7,11,UCATM,2
D7,12,LCATU,-2
D8,1,UCATU,-3
D8,2,LCATM,3
D8,3,UCATM,3
D8,4,LCATU,1
D8,5,UCATU,3
D8,6,LCATM,3
D8,7,UCATM,3
D8,8,LCATU,-3
D8,9,UCATU,-3
D8,10,LCATM,-3
D8,11,UCATM,3
D8,12,LCATU,-3
D9,1,UCATU,1
D9,2,LCATM,3
D9,3,UCATM,1
D9,4,LCATU,1
D9,5,UCATU,-1
D9,6,LCATM,3
D9,7,UCATM,3
D9,8,LCATU,-2
D9,9,UCATU,-3
D9,10,LCATM,3
D9,11,UCATM,3
D9,12,LCATU,-2
D10,1,UCATU,-2
D10,2,LCATM,3
D10,3,UCATM,1
D10,4,LCATU,-1
D10,5,UCATU,0
D10,6,LCATM,2
D10,7,UCATM,3
D10,8,LCATU,-2
D10,9,UCATU,-1
D10,10,LCATM,1
D10,11,UCATM,2
D10,12,LCATU,-2
D13,1,UCATU,2
D13,2,LCATM,2
D13,3,UCATM,1
D13,4,LCATU,-2
D13,5,UCATU,-3
D13,6,LCATM,1
D13,7,UCATM,0
D13,8,LCATU,-2
D13,9,UCATU,-2
D13,10,LCATM,2
D13,11,UCATM,2
D13,12,LCATU,-3
D15,1,UCATU,-3
D15,2,LCATM,2
D15,3,UCATM,3
D15,4,LCATU,-3
D15,5,UCATU,-3
D15,6,LCATM,2
D15,7,UCATM,1
D15,8,LCATU,-3
D15,9,UCATU,-3
D15,10,LCATM,2
D15,11,UCATM,2
D15,12,LCATU,-3
D19,1,UCATU,-3
D19,2,LCATM,3
D19,3,UCATM,3
D19,4,LCATU,-3
D19,5,UCATU,-3
D19,6,LCATM,3
D19,7,UCATM,2
D19,8,LCATU,-3
D19,9,UCATU,-3
D19,10,LCATM,2
D19,11,UCATM,3
D19,12,LCATU,-3
D20,1,UCATU,-1
D20,2,LCATM,3
D20,3,UCATM,3
D20,4,LCATU,1
D20,5,UCATU,1
D20,6,LCATM,3
D20,7,UCATM,3
D20,8,LCATU,0
D20,9,UCATU,1
D20,10,LCATM,2
D20,11,UCATM,3
D20,12,LCATU,1
D21,1,UCATU,-2
D21,2,LCATM,3
D21,3,UCATM,3
D21,4,LCATU,-2
D21,5,UCATU,-1
D21,6,LCATM,3
D21,7,UCATM,3
D21,8,LCATU,-2
D21,9,UCATU,-1
D21,10,LCATM,3
D21,11,UCATM,3
D21,12,LCATU,-1
D22,1,UCATU,-3
D22,2,LCATM,3
D22,3,UCATM,3
D22,4,LCATU,2
D22,5,UCATU,1
D22,6,LCATM,3
D22,7,UCATM,3
D22,8,LCATU,1
D22,9,UCATU,1
D22,10,LCATM,3
D22,11,UCATM,3
D22,12,LCATU,1
