"id","GENDER","GENDER[other]","AGE","NATIVETR","BILINGUALQ","REGION[THRACE]","REGION[MEDITER]","REGION[MARMARA]","REGION[AEGEAN]","REGION[BLACKSEA]","REGION[CENTRALANATOLIA]","REGION[EASTANATOLIA]","REGION[SOUTHEASTANATOLIA]","L2","EDUCATION","EDUCATION[other]","EDUCATIONMAJOR[FINEARTS]","EDUCATIONMAJOR[SOCIALSCIENCES]","EDUCATIONMAJOR[PHYSICALSCIENCES]","EDUCATIONMAJOR[HUMANITIES]","INSTR1","INSTR2","PRACTICEDISPLAY","PRACTICE1[PRACTICE1]","PRACTICE2[PRACTICE1]","PRACTICE3[PRACTICE1]","LCATM1[PRACTICE1]","CTGRAM1[PRACTICE1]","UCATM2[PRACTICE1]","CTUNGRAM1[PRACTICE1]","LCATU3[PRACTICE1]","CTGRAM2[PRACTICE1]","UCATU4[PRACTICE1]","CTUNGRAM2[PRACTICE1]","LCATM5[PRACTICE1]","CTGRAM3[PRACTICE1]","UCATM6[PRACTICE1]","CTUNGRAM3[PRACTICE1]","LCATU7[PRACTICE1]","CTGRAM4[PRACTICE1]","UCATU8[PRACTICE1]","CTUNGRAM4[PRACTICE1]","LCATM9[PRACTICE1]","CTGRAM5[PRACTICE1]","UCATM10[PRACTICE1]","CTUNGRAM5[PRACTICE1]","LCATU11[PRACTICE1]","CTGRAM6[PRACTICE1]","UCATU12[PRACTICE1]","CTUNGRAM6[PRACTICE1]","LCASEM1[PRACTICE1]","CTGRAM7[PRACTICE1]","UCASEM2[PRACTICE1]","CTUNGRAM7[PRACTICE1]","UCASEU3[PRACTICE1]","CTGRAM8[PRACTICE1]","LCASEM5[PRACTICE1]","CTUNGRAM8[PRACTICE1]","UCASEM6[PRACTICE1]","CTGRAM9[PRACTICE1]","UCASEU7[PRACTICE1]","CTUNGRAM9[PRACTICE1]","LCASEM9[PRACTICE1]","CTGRAM10[PRACTICE1]","UCASEM10[PRACTICE1]","CTUNGRAM10[PRACTICE1]","UCASEU11[PRACTICE1]","CTGRAM11[PRACTICE1]","CTUNGRAM11[PRACTICE1]"
"3","FEMAL","","2000","YESTR","BIL3","","Y","","","","","","","İngilizce 1
Arapça 2","BA","","","Y","","","","","","1","-3","1","3","3","3","-2","2","3","-3","-3","2","3","3","2","2","3","-2","-3","3","3","3","-2","3","2","3","-1","3","3","3","-3","-1","3","2","1","3","1","1","-3","3","-1","3","3","3","3","-3"
"5","FEMAL","","1989","YESTR","BIL1","","","Y","","","","","","rusça-3
inglizce-2","MA","","","Y","","","","","","3","-3","3","1","-1","2","-3","-1","1","-2","-2","-2","1","1","-2","-1","-1","-2","-3","-2","-3","-1","-3","-1","-3","-3","-3","-2","-1","-3","-2","-3","-1","-2","-2","-2","1","-2","-3","-2","-3","1","-3","-1","-1","-2"
"7","-oth-","1995","1995","YESTR","MONOL","","","Y","","","","","","","BA","","","Y","","Y","","","","3","-1","3","3","3","3","3","3","3","2","3","3","3","3","-1","3","3","3","-2","3","3","3","-2","3","3","3","2","3","3","3","-1","3","3","3","3","3","3","3","-2","3","-1","3","-2","3","3","-2"
"8","FEMAL","","2000","NOTR","","","","","","","","","Y","","BA","","","Y","","","","","","2","-3","3","1","0","3","-2","-2","3","-3","-3","-2","3","1","-3","0","-2","-3","-2","3","3","1","-2","-3","-3","-2","-3","1","3","2","-3","1","1","-3","-2","-1","2","-2","-1","-2","-3","-2","-3","3","3","-3"
"9","FEMAL","","2002","YESTR","MONOL","","","Y","","","","","","İngilizce-2
Almanca-1","BA","","","Y","","","","","","3","-2","2","2","3","1","-3","-3","3","-3","-3","2","3","2","-3","-3","-3","-3","-3","3","2","3","-3","-3","-3","-3","-3","-2","3","2","-3","-3","3","1","-3","2","1","1","-3","2","-3","2","-3","-3","3","-3"
"10","UNIDE","","2005","YESTR","MONOL","","","","Y","","","","","","MA","","","","","Y","","","","3","-3","1","-2","2","3","-1","-1","2","-3","-3","2","3","2","-3","-3","2","-3","-2","2","3","3","-3","-3","-2","-2","-1","-2","3","3","-2","-3","2","1","1","1","3","-2","-3","-2","-2","2","-3","-2","2","-3"
"11","FEMAL","","1997","YESTR","MONOL","","","Y","","","","","","İngilizce- 2","MA","","","Y","","","","","","3","-3","3","2","3","-1","-3","-1","3","-3","-3","2","2","1","-3","-3","3","-3","-2","3","1","1","-3","-2","-3","-1","-3","2","3","3","-3","1","3","1","-3","-1","3","-2","-3","2","-3","1","-3","-1","2","-3"
"12","FEMAL","","1993","YESTR","MONOL","","","Y","","","","","","","MA","","","Y","","","","","","3","-2","3","3","3","2","-3","-1","3","-2","-2","3","3","2","-2","-1","3","-1","-1","3","3","3","-2","-2","1","-1","-1","3","3","3","-2","-2","3","3","-2","1","3","1","-3","3","-3","3","-2","-1","3","-3"
"13","FEMAL","","1970","YESTR","MONOL","","","Y","","","","","","İngilizce-2
Almanca-2","BA","","","","Y","","","","","3","0","3","3","3","2","0","1","3","1","-1","3","3","2","1","1","3","1","1","3","3","2","0","1","2","1","1","2","2","3","0","2","3","2","2","3","2","1","0","2","-1","2","-1","2","3","1"
"14","MALE","","1996","YESTR","MONOL","","","Y","","","","","","İngilizce  - 3","MA","","","Y","","","","","","1","-3","3","3","0","3","-3","-3","3","-3","-3","2","3","3","-3","-3","3","-3","-3","3","3","3","-3","1","2","-3","-3","3","3","3","-3","3","3","3","-3","3","3","-2","-3","3","-3","3","-3","-3","3","-3"
"15","MALE","","1967","YESTR","MONOL","","","Y","","","","","","İngilizce-3","BA","","","Y","","","","","","0","-2","2","3","3","-1","-3","2","2","-1","-3","1","2","1","0","-2","2","-2","-3","3","2","3","-2","-2","-1","-2","1","3","0","2","-3","-3","2","-3","1","2","-3","-2","-3","1","-3","2","-3","-1","1","-3"
"16","MALE","","2000","YESTR","MONOL","","","Y","","","","","","İngilizce - 2
","BA","","Y","","","","","","","3","-3","3","3","2","3","-2","-2","3","1","-2","2","1","2","-2","-1","2","-1","-1","3","3","2","-2","-1","1","-2","-1","2","3","2","-3","-1","3","1","-2","1","1","1","-2","2","-1","2","-3","0","3","-2"
"17","FEMAL","","2006","YESTR","MONOL","","","Y","","","","","","İngilizce-2","-oth-","Lise öğrencisi","","","Y","","","","","1","-3","3","3","3","2","-3","1","3","0","-2","3","1","1","-2","1","3","1","-1","3","3","2","-1","-3","-1","1","-3","3","3","3","-2","1","3","-3","2","1","1","1","-2","3","3","1","-3","1","3","-3"
"18","MALE","","1969","YESTR","MONOL","","","Y","","","","","","Orta derecede Ingilizce ve Fransızca 
İngilizce 2
Fransızca 2","PhD","","","Y","","","","","","3","-3","3","2","3","2","-2","2","3","-2","-2","2","3","3","-2","-2","3","2","-2","3","2","3","-3","1","2","1","-3","2","3","2","-3","-3","3","1","-2","2","2","1","-3","1","-2","1","0","1","3","-3"
"19","MALE","","2000","YESTR","MONOL","","","Y","","","","","","İngilizce 2","BA","","Y","","","","","","","3","-3","3","3","3","3","-3","-3","3","-2","-3","3","3","3","0","-2","0","-3","-2","3","3","3","-2","0","1","-3","-3","1","3","3","-3","-1","3","3","0","2","3","1","-3","3","-3","-1","0","0","3","-3"
"20","MALE","","1999","YESTR","BIL2","","","Y","","","","","","İngilizce - 2","MA","","Y","","","","","","","2","-3","3","2","3","1","-1","-1","3","-1","-2","1","3","3","-3","-1","3","-2","-1","3","3","1","-3","-2","2","-1","0","3","3","1","-3","-1","2","2","0","1","3","0","-2","3","-3","2","-3","-2","3","-3"

